,Unnamed: 0,Keyword,Count_news,Count_blog,Count_kin,Count_total
222,222,15,4.0,1.0,2.0,7.0
223,223,15일,4.0,1.0,0.0,5.0
224,224,일,55.0,24.0,22.0,101.0
225,225,열과,4.0,0.0,0.0,4.0
226,226,훼손,2.0,0.0,0.0,2.0
227,227,국가,4.0,2.0,4.0,10.0
228,228,신분증,4.0,0.0,0.0,4.0
229,229,주민등록증주민증,1.0,0.0,0.0,1.0
230,230,최근,2.0,1.0,1.0,4.0
231,231,5,5.0,6.0,5.0,16.0
232,232,5년20152019년,1.0,0.0,0.0,1.0
233,233,20152019,1.0,0.0,0.0,1.0
234,234,간,2.0,3.0,0.0,5.0
235,235,분실,2.0,0.0,0.0,2.0
236,236,건수,2.0,0.0,0.0,2.0
237,237,790,2.0,0.0,0.0,2.0
238,238,790만건,1.0,0.0,0.0,1.0
239,239,만,6.0,7.0,6.0,19.0
240,240,건,2.0,1.0,1.0,4.0
241,241,한국조폐공사사장,11.0,1.0,0.0,12.0
242,242,1999,7.0,0.0,0.0,7.0
243,243,1999년,7.0,0.0,0.0,7.0
244,244,일제,6.0,0.0,0.0,6.0
245,245,갱신,6.0,0.0,0.0,6.0
246,246,이래,6.0,1.0,0.0,7.0
247,247,20,7.0,0.0,2.0,9.0
248,248,20년만인,5.0,0.0,0.0,5.0
249,249,만인,6.0,0.0,0.0,6.0
250,250,서비스중,3.0,0.0,0.0,3.0
251,251,이번,2.0,9.0,6.0,17.0
252,252,플라스틱,1.0,0.0,0.0,1.0
253,253,재질,1.0,0.0,0.0,1.0
254,254,제조,4.0,11.0,12.0,27.0
255,255,올해,1.0,6.0,5.0,12.0
256,256,레이저,2.0,0.0,0.0,2.0
257,257,보안인쇄기술색,2.0,0.0,0.0,2.0
258,258,인쇄,2.0,0.0,4.0,6.0
259,259,기술,2.0,23.0,4.0,29.0
260,260,색,2.0,0.0,0.0,2.0
261,261,변환,2.0,0.0,0.0,2.0
262,262,특수,2.0,6.0,1.0,9.0
263,263,특수잉크돋움문자,2.0,0.0,0.0,2.0
264,264,잉크,2.0,0.0,0.0,2.0
265,265,돋움,2.0,0.0,0.0,2.0
266,266,문자,2.0,0.0,5.0,7.0
267,267,적용,3.0,2.0,0.0,5.0
268,268,5년간,1.0,0.0,0.0,1.0
269,269,790만,1.0,0.0,0.0,1.0
270,270,가운데,5.0,0.0,0.0,5.0
271,271,이미지,2.0,2.0,0.0,4.0
272,272,20년,2.0,0.0,0.0,2.0
273,273,도입,1.0,3.0,1.0,5.0
274,274,이후,1.0,0.0,1.0,2.0
275,275,화폐박물관대전,4.0,0.0,0.0,4.0
276,276,대전,30.0,14.0,9.0,53.0
277,277,유성,5.0,1.0,1.0,7.0
278,278,유성구,3.0,1.0,1.0,5.0
279,279,구,3.0,5.0,5.0,13.0
280,280,재이,1.0,0.0,0.0,1.0
281,281,26,8.0,1.0,0.0,9.0
282,282,26일,8.0,1.0,0.0,9.0
283,283,특별,11.0,4.0,1.0,16.0
284,284,특별전시실,7.0,0.0,0.0,7.0
285,285,전시실,7.0,0.0,0.0,7.0
286,286,번트,7.0,0.0,0.0,7.0
287,287,증후군,7.0,0.0,0.0,7.0
288,288,아티스트,7.0,0.0,0.0,7.0
289,289,자폐증,4.0,0.0,0.0,4.0
290,290,지적,4.0,0.0,0.0,4.0
291,291,지적장애,4.0,0.0,0.0,4.0
292,292,장애,16.0,0.0,0.0,16.0
293,293,사람,3.0,5.0,5.0,13.0
294,294,유성구은,2.0,0.0,0.0,2.0
295,295,구은,2.0,0.0,0.0,2.0
296,296,11,4.0,2.0,0.0,6.0
297,297,11일,4.0,0.0,0.0,4.0
298,298,8,26.0,2.0,2.0,30.0
299,299,8일,26.0,1.0,0.0,27.0
300,300,본사,27.0,2.0,2.0,31.0
301,301,경영전략회의,16.0,0.0,0.0,16.0
302,302,전략,19.0,4.0,1.0,24.0
303,303,자가,4.0,0.0,2.0,6.0
304,304,발생,5.0,0.0,0.0,5.0
305,305,사장사진,2.0,0.0,0.0,2.0
306,306,사진,5.0,2.0,7.0,14.0
307,307,영향,1.0,0.0,0.0,1.0
308,308,향,1.0,0.0,0.0,1.0
309,309,발급량,1.0,0.0,0.0,1.0
310,310,급감매출채권,1.0,0.0,0.0,1.0
311,311,채권,1.0,0.0,1.0,2.0
312,312,회수,1.0,0.0,0.0,1.0
313,313,지연,1.0,0.0,3.0,4.0
314,314,경비,2.0,0.0,0.0,2.0
315,315,절감,1.0,0.0,0.0,1.0
316,316,투자,2.0,8.0,4.0,14.0
317,317,조정,2.0,0.0,0.0,2.0
318,318,합리화,2.0,0.0,0.0,2.0
319,319,추진,2.0,0.0,0.0,2.0
320,320,100,6.0,3.0,4.0,13.0
321,321,100억원대,3.0,0.0,0.0,3.0
322,322,대,4.0,13.0,3.0,20.0
323,323,강도,2.0,0.0,0.0,2.0
324,324,경영혁신위기,2.0,0.0,0.0,2.0
325,325,기회,2.0,2.0,1.0,5.0
326,326,터,1.0,0.0,0.0,1.0
327,327,코로나19발,1.0,0.0,0.0,1.0
328,328,발,1.0,0.0,0.0,1.0
329,329,한파,1.0,0.0,0.0,1.0
330,330,조폐공사장,1.0,0.0,0.0,1.0
331,331,공사장,1.0,0.0,0.0,1.0
332,332,23,3.0,0.0,0.0,3.0
333,333,23년,1.0,0.0,0.0,1.0
334,334,기록,1.0,0.0,0.0,1.0
335,335,위기극복,3.0,0.0,0.0,3.0
336,336,특별대책,1.0,0.0,0.0,1.0
337,337,경영전략,3.0,0.0,0.0,3.0
338,338,발굴,4.0,2.0,0.0,6.0
339,339,만큼,1.0,1.0,0.0,2.0
340,340,사진한국조폐공사,2.0,0.0,0.0,2.0
341,341,매출액,6.0,1.0,0.0,7.0
342,342,5천,3.0,0.0,0.0,3.0
343,343,천,3.0,1.0,2.0,6.0
344,344,317,1.0,1.0,0.0,2.0
345,345,317억,1.0,0.0,0.0,1.0
346,346,전년,5.0,1.0,0.0,6.0
347,347,13,5.0,2.0,1.0,8.0
348,348,경비절검,1.0,0.0,0.0,1.0
349,349,절검,1.0,0.0,0.0,1.0
350,350,경영합리화,1.0,0.0,0.0,1.0
351,351,필요,1.0,1.0,10.0,12.0
352,352,경영여건,9.0,0.0,0.0,9.0
353,353,여건,10.0,2.0,0.0,12.0
354,354,지속,8.0,1.0,0.0,9.0
355,355,창립,5.0,11.0,2.0,18.0
356,356,70,5.0,8.0,1.0,14.0
357,357,70주년,5.0,8.0,1.0,14.0
358,358,주년,5.0,11.0,6.0,22.0
359,359,미래성장,2.0,0.0,0.0,2.0
360,360,도모,1.0,1.0,0.0,2.0
